wallet_provider,wallet_id,balance,monthly_transactions,average_transaction,top_up_frequency,duitnow_qr_usage,user_id
Boost,c7953df2-2956-40d9-b54e-e4859ed9ca28,430.25,18,94.03,4,7,6987c306-27af-461f-985d-f3b35f20181e
Touch n Go eWallet,57254aec-56af-405e-9d86-2380c2d85f6d,17.27,19,69.14,1,4,6987c306-27af-461f-985d-f3b35f20181e
MAE,3bac4e5d-a956-4938-840e-8206fa320ee4,346.46,29,66.71,7,12,638060d1-b062-462c-995b-8cd9e11758a3
GoPayz,a2242d31-dca5-4eff-ab36-1b3f2ef89089,192.84,19,35.93,1,11,638060d1-b062-462c-995b-8cd9e11758a3
Touch n Go eWallet,6a03dcfb-171d-4c09-9599-3a63ddb9e191,373.92,6,18.63,8,10,2257c5dc-1ecb-41e0-8db1-a0e44a48380c
GrabPay,cb66ef63-53c1-4430-a0fc-d16778799a62,157.74,18,51.16,5,15,2257c5dc-1ecb-41e0-8db1-a0e44a48380c
ShopeePay,9301d368-c958-46e0-8d7b-360be83a25f6,355.45,5,53.58,5,6,2257c5dc-1ecb-41e0-8db1-a0e44a48380c
MAE,5d78d28b-e94e-4f61-bfa1-a25de0577df7,452.89,5,85.47,3,15,24f36559-950a-4aa1-9436-911781f4c772
Touch n Go eWallet,3f5c76e7-9c7a-4c23-b95f-79c4b382a842,431.48,16,81.19,1,3,24f36559-950a-4aa1-9436-911781f4c772
Touch n Go eWallet,c9c5a930-1d16-4601-be44-5225d916746b,183.53,16,92.12,6,8,904c39f8-0960-4e98-9f92-48df30d03b31
MAE,b5e6f3f3-6853-4bad-b932-d47c8b3a8b24,284.32,16,95.61,1,12,904c39f8-0960-4e98-9f92-48df30d03b31
Boost,ff5f816c-8296-43c7-92fc-3c59c7f943d9,270.21,25,48.47,8,6,904c39f8-0960-4e98-9f92-48df30d03b31
GrabPay,1694a8f5-9ec0-4753-9a3a-0a9303736aa4,437.67,15,22.85,4,9,b24f37f9-8b44-48ec-80e7-f3a79fa40794
Touch n Go eWallet,436fe86e-3c69-41a2-9533-99057df693fa,94.51,18,47.14,1,6,b24f37f9-8b44-48ec-80e7-f3a79fa40794
ShopeePay,35b1511a-6939-4ef1-bcdd-35e5fc4c27ef,355.29,19,19.88,3,9,f399f388-a6bb-4df9-8d8a-f111975e5af5
Touch n Go eWallet,efa46e47-eaa4-4b77-83a7-e1b767699e0c,487.43,24,96.2,3,8,f399f388-a6bb-4df9-8d8a-f111975e5af5
GrabPay,e4899652-9e0a-405c-b237-76f385fcbba8,337.94,28,90.44,1,12,799fb034-8911-40b8-a4bd-611a350f2c19
Boost,bf67b834-3006-431a-8163-ff4a45fd17f5,392.61,7,81.21,5,3,799fb034-8911-40b8-a4bd-611a350f2c19
Boost,8a822168-9b10-48f4-b3db-7edc8a2662fa,369.75,24,60.03,2,12,cf467fbb-7e52-4c22-8833-d78218ad06a4
GrabPay,49747cbf-ffea-416f-9fdd-07687c9cd4bc,447.92,19,63.89,3,4,cf467fbb-7e52-4c22-8833-d78218ad06a4
ShopeePay,ddf0385a-999e-4a3c-a6e6-1440f246f7a5,331.07,9,97.71,6,3,cf467fbb-7e52-4c22-8833-d78218ad06a4
GoPayz,1acc46be-9c17-42cd-9d6c-ee8bc2a28597,399.99,27,58.4,7,15,286f72db-c56d-443e-bd36-b50fe1469030
MAE,cb0d067d-e700-4e6b-96c7-aa9a25848bac,92.6,11,15.2,7,3,286f72db-c56d-443e-bd36-b50fe1469030
ShopeePay,ab97d0ab-f5d1-4a8b-a753-f1e105d3f116,200.39,23,68.89,7,3,286f72db-c56d-443e-bd36-b50fe1469030
Boost,0ba20d9b-4e1f-4d04-8558-27cb553c9261,421.87,30,99.47,1,13,286f72db-c56d-443e-bd36-b50fe1469030
GoPayz,4852a0f8-c3a6-48dc-9cf1-d16fb1a21358,63.81,6,67.78,3,15,57c05821-2a23-479b-a4e6-515a4487b033
MAE,964a9213-367c-48c0-9d0f-94bfc58c2d45,318.02,14,44.89,1,10,57c05821-2a23-479b-a4e6-515a4487b033
GrabPay,9ead3c86-67c2-443c-ab9b-5fa86843a8a9,454.24,9,13.62,3,11,57c05821-2a23-479b-a4e6-515a4487b033
GrabPay,ff3f39a5-e09e-4120-a9da-622a6f09fa84,146.41,19,56.25,4,6,970baaa7-5d85-48ca-ac35-b9875b1e1638
ShopeePay,4e96667b-cacc-4dc1-8403-82d02c59b530,310.25,13,24.31,1,4,970baaa7-5d85-48ca-ac35-b9875b1e1638
Boost,443ca87f-6c67-47d7-9c18-8745390926fd,311.95,23,96.35,4,3,970baaa7-5d85-48ca-ac35-b9875b1e1638
ShopeePay,08178a59-504c-4fdd-bcb1-1d18ef52c472,116.51,20,88.48,1,8,2e47a31e-8c72-402a-a5e7-c225980e6e2e
Touch n Go eWallet,56484f09-9bd2-4ec1-a520-1e0453774da9,115.61,7,79.2,8,4,2e47a31e-8c72-402a-a5e7-c225980e6e2e
Touch n Go eWallet,dbc9882f-5650-4eb3-b91e-a00cf3c9e095,413.49,22,38.55,8,15,30823211-5bb5-477d-8ea7-8486aa5d6724
GrabPay,14a67f1d-feff-4fcb-afba-deea0d3af251,491.76,11,63.91,3,7,30823211-5bb5-477d-8ea7-8486aa5d6724
GrabPay,2c258d5a-4fef-4ca3-b6d6-dce4c3ce99c1,385.05,14,60.34,5,5,a81266e7-91c1-4436-a3d7-19bfe5f84ec1
Touch n Go eWallet,ac8c1c4e-3144-4c6a-8a96-94356350961a,475.82,19,73.64,8,7,a81266e7-91c1-4436-a3d7-19bfe5f84ec1
ShopeePay,853e80bf-5642-4479-b58b-81e1edc62719,56.38,26,27.17,7,3,54f5615f-dfac-4f2d-af3e-8dbae2573f1d
GoPayz,a88c007e-c407-4a1c-bab2-0751a08e1412,213.06,17,68.81,6,6,54f5615f-dfac-4f2d-af3e-8dbae2573f1d
Boost,3f1af5f3-9ffd-44cc-80bb-4306848e0626,84.54,28,40.91,5,13,54f5615f-dfac-4f2d-af3e-8dbae2573f1d
GrabPay,e1c209ef-e0c6-40b7-a03d-a40814204452,209.51,16,69.62,2,13,0119c8fc-b7fe-464a-8add-987227abfaf7
Boost,0d817888-47c3-4c8b-84bb-3dbaeb0b5906,384.4,25,70.61,6,11,0119c8fc-b7fe-464a-8add-987227abfaf7
ShopeePay,a1feadd9-dabf-451d-b63c-544bc1e2aad9,57.08,10,14.59,1,5,670e8dde-415d-442e-9251-e4091cc380cc
Touch n Go eWallet,ee00adc6-7afb-4d82-8599-3cc0409ee924,375.4,10,28.04,1,11,670e8dde-415d-442e-9251-e4091cc380cc
Boost,7f0527f2-85b1-40e1-934e-7cd161f7f0ae,173.67,28,69.4,8,7,670e8dde-415d-442e-9251-e4091cc380cc
Boost,b5c4bce1-2fbf-4aff-aeea-c24cb922cd9d,76.47,14,57.15,8,8,759ead36-8ada-4b72-bc11-7eb6a5b424a5
GrabPay,6e93357c-6e24-48e2-8867-160fc7175513,410.88,19,12.88,3,7,759ead36-8ada-4b72-bc11-7eb6a5b424a5
ShopeePay,5394d4e4-a632-4d89-b404-d5f84f37bcd8,440.25,21,85.94,4,5,fdddcdde-a422-49cb-82ed-21e5adc09d23
Boost,a7c5e5bc-6eac-4ee2-b95e-7a7128bf8ac7,440.18,10,52.02,2,4,fdddcdde-a422-49cb-82ed-21e5adc09d23
MAE,0ab6e11a-265c-43ab-b65a-0caa71c9d49e,87.73,30,51.83,7,12,fdddcdde-a422-49cb-82ed-21e5adc09d23
GrabPay,cc824a49-540c-438f-8a1b-f601307604cc,213.33,26,28.28,4,6,4646d23e-3d91-4c36-aad5-30741e0a42e9
MAE,6abf1d34-8643-4b25-82b1-a99158e72c3f,174.86,18,90.45,1,13,4646d23e-3d91-4c36-aad5-30741e0a42e9
GoPayz,763aa414-77b7-4584-8d30-920109147fe8,88.63,8,87.43,1,4,4646d23e-3d91-4c36-aad5-30741e0a42e9
Touch n Go eWallet,e277db3f-f3a4-4171-8b96-d4b31723a004,369.39,23,43.02,7,14,4646d23e-3d91-4c36-aad5-30741e0a42e9
MAE,c85b1c17-b764-4e1c-89bb-15cceeff61a3,287.86,16,65.01,1,9,62303684-5c2a-416e-b803-5fc79bc77b1b
Touch n Go eWallet,be417e42-32db-45cd-a45f-9037cb65071b,54.58,25,57.92,6,7,62303684-5c2a-416e-b803-5fc79bc77b1b
Touch n Go eWallet,347e45ba-dc52-4b65-abf4-847237c0af9c,193.25,17,30.32,1,14,d1fc9b7d-530b-4795-93c2-92b4b161367c
MAE,0d8badc6-c385-468e-b29d-f00ae7f577dc,72.32,19,77.87,2,8,d1fc9b7d-530b-4795-93c2-92b4b161367c
GoPayz,169a124b-263f-4718-810e-4a1da35884ea,347.31,14,65.67,5,15,d1fc9b7d-530b-4795-93c2-92b4b161367c
GoPayz,821f672d-1546-4b16-9781-04f938d7c090,448.98,21,55.65,4,15,86f85e48-c573-4d0f-8129-ed637e768aaf
MAE,49d29e88-c3f9-4a63-b95e-0558df15fbf8,201.8,20,87.19,8,15,86f85e48-c573-4d0f-8129-ed637e768aaf
Touch n Go eWallet,263cc320-ecd6-4729-9dba-a205ce8b6fa6,86.07,16,39.19,2,15,86f85e48-c573-4d0f-8129-ed637e768aaf
Boost,361b6b2c-b247-4722-9a7c-54a986057729,244.17,9,70.08,7,5,86f85e48-c573-4d0f-8129-ed637e768aaf
MAE,f90e4be8-979b-4b0e-9386-40e7ab6a7798,495.38,20,25.49,2,13,dd78a64a-7579-42da-b5ee-535a656cf72c
GrabPay,215406be-06c1-4bba-aa28-f724a798aa46,362.48,30,98.11,6,9,dd78a64a-7579-42da-b5ee-535a656cf72c
Boost,22b754ed-5d69-48a1-b768-25eeed1ae1a1,196.47,6,15.05,2,8,dd78a64a-7579-42da-b5ee-535a656cf72c
Touch n Go eWallet,d6f8c2e5-8a22-40af-88e4-ecc4688dbaf9,108.92,23,19.46,1,3,dd78a64a-7579-42da-b5ee-535a656cf72c
MAE,fb5b7f6f-91ff-4334-aded-f66b893c9690,291.05,12,90.26,6,15,3c84688c-59a6-42c8-a5cc-6163a52b2440
Touch n Go eWallet,3c8bfe2e-feb0-44cf-a140-fe76ecf0433d,255.74,7,36.35,1,13,3c84688c-59a6-42c8-a5cc-6163a52b2440
GoPayz,5fddb5d3-875d-4587-9980-c8fede9b5833,256.52,15,52.52,7,4,87ecfca0-aafd-4bcb-9fda-e20da8dbd7d0
MAE,1bd76497-70a5-4f97-bb05-91567e059776,266.35,13,57.69,7,7,87ecfca0-aafd-4bcb-9fda-e20da8dbd7d0
ShopeePay,870d52f4-f955-497b-851d-ef7e7ae682cb,392.4,21,88.97,2,6,87ecfca0-aafd-4bcb-9fda-e20da8dbd7d0
Touch n Go eWallet,7e0bb33d-ffdb-4271-b885-373e2142e00c,355.96,26,64.42,6,3,6b12a611-d2ab-4af1-bbe8-d3d97b8761c4
GrabPay,190239a6-ea4e-4628-8a0a-e0090cdfbf48,274.28,20,25.26,7,13,6b12a611-d2ab-4af1-bbe8-d3d97b8761c4
MAE,4d8fb20d-ee59-4b4a-a823-7b927309f471,25.97,15,75.01,4,8,8dd07760-6fd1-4df3-8857-04dd6d11449e
GoPayz,3083066a-2a7c-4c25-b2aa-d3ea8629b69f,191.73,21,24.23,7,15,8dd07760-6fd1-4df3-8857-04dd6d11449e
ShopeePay,e8f2f51c-4b1c-414f-b4f5-86f2472cd839,370.89,10,13.9,7,5,8dd07760-6fd1-4df3-8857-04dd6d11449e
Boost,ac89162a-dd61-45d5-b648-66e7108ed38c,411.33,7,10.03,8,4,127f73b3-ca5d-4415-8df3-0dca3a4e68ad
ShopeePay,24f65717-bc7b-4956-a9be-ed2af4388a79,423.26,12,81.49,2,3,127f73b3-ca5d-4415-8df3-0dca3a4e68ad
MAE,4d466e1f-87e2-4530-8134-4cf6424ad92f,229.49,19,31.9,1,8,127f73b3-ca5d-4415-8df3-0dca3a4e68ad
MAE,d6121923-1883-4f6c-8838-fd2407bb7c02,367.68,26,63.24,6,12,e195a7f3-a17a-4c1f-8ec5-bc2a3a940cfc
ShopeePay,d3f57894-7ccd-4510-af01-52de04e87a98,87.98,29,87.61,8,4,e195a7f3-a17a-4c1f-8ec5-bc2a3a940cfc
MAE,7717af9a-892d-4ec9-aa6a-80fa780282ef,359.11,20,31.18,4,8,34a1a13c-b897-4934-a51f-02102925efff
GoPayz,f77c21e6-7b19-4096-8b60-ac9948edb4cd,139.67,18,32.46,2,14,34a1a13c-b897-4934-a51f-02102925efff
GrabPay,21d9d945-7f20-495a-b73f-c57cc6895b4a,396.69,22,49.07,1,5,34a1a13c-b897-4934-a51f-02102925efff
ShopeePay,ff778275-d9d8-4caf-98c2-049b7522ba9a,428.82,13,22.88,6,11,d5fcdc9f-ea2b-4c39-9bef-059456a7791c
Touch n Go eWallet,dff6d3a1-c77e-4159-8049-272c2751fab9,433.35,30,86.69,2,14,d5fcdc9f-ea2b-4c39-9bef-059456a7791c
GrabPay,8752e028-8391-4961-a510-2b4b718e6eff,49.51,29,86.51,1,7,d5fcdc9f-ea2b-4c39-9bef-059456a7791c
MAE,4399ccc1-f5a1-4127-ac11-6a0b644be779,186.88,18,91.49,7,3,d5fcdc9f-ea2b-4c39-9bef-059456a7791c
GrabPay,89099abe-8f8b-4fc6-b2b4-dd6da328c5a3,216.39,15,51.53,4,15,b873a197-e4da-4bde-98f7-c9c9f0b73349
Boost,574a699c-056f-4e0a-b93a-51d26ae7551a,300.16,30,64.51,2,8,b873a197-e4da-4bde-98f7-c9c9f0b73349
GoPayz,0d563e5a-8e04-43fd-804f-b239c9587451,286.92,18,35.1,7,13,b873a197-e4da-4bde-98f7-c9c9f0b73349
ShopeePay,21ccd68d-8717-4e96-ac3b-a3c5f69ad316,436.46,18,91.04,5,9,588c1467-47ca-4968-8c34-ad3ffb9da9c4
Boost,ea2a311d-ac25-4143-9d87-1e3367ee2d4e,313.92,14,61.82,3,6,588c1467-47ca-4968-8c34-ad3ffb9da9c4
GoPayz,b8a51990-cce9-439c-8505-d9d3ff2ea3bf,117.68,16,59.74,2,15,588c1467-47ca-4968-8c34-ad3ffb9da9c4
GrabPay,f02f20d0-18ea-4efe-88e6-bd5b15f469ab,373.22,6,30.31,5,13,38a4529f-3b93-4902-89d4-4637cd7b990a
MAE,a359ceec-41c6-413c-a164-c5cd2988e703,443.82,18,73.42,1,11,38a4529f-3b93-4902-89d4-4637cd7b990a
GrabPay,e8647d74-9d8e-4091-a444-7ce0a84a9399,260.88,19,55.19,6,3,62b49935-98a4-45ef-99bc-bd5b289a23c0
Boost,c916309f-89ce-459e-a325-361fe3275d82,144.13,19,55.08,7,4,62b49935-98a4-45ef-99bc-bd5b289a23c0
GoPayz,6a31a8c0-2b33-4d29-b52d-91695e510102,287.86,9,15.05,1,13,62b49935-98a4-45ef-99bc-bd5b289a23c0
MAE,5ca1eedd-7e71-4635-978c-a620855a73ed,204.61,22,23.38,7,15,62b49935-98a4-45ef-99bc-bd5b289a23c0
Boost,0adc3b28-f8b2-481f-9444-93ebbc220e85,61.85,14,71.41,7,7,ddd69964-d047-4aa2-a9a5-d59e1ae9d03c
Touch n Go eWallet,f53b30d1-5f35-4579-ab03-5d1ccc787564,432.47,30,43.54,7,5,ddd69964-d047-4aa2-a9a5-d59e1ae9d03c
ShopeePay,83f5853e-d519-4892-a06d-cbc89d83d665,411.23,7,54.66,3,12,ddd69964-d047-4aa2-a9a5-d59e1ae9d03c
ShopeePay,93518a6c-50c2-453c-a816-2b9484566440,331.18,12,39.46,7,8,8ba05fb0-095e-466e-a2ad-fa3580682d0f
Boost,f08a76e4-3b79-46ed-9e1d-1f9bf8cc019c,40.92,16,71.62,2,14,8ba05fb0-095e-466e-a2ad-fa3580682d0f
GoPayz,f5bef08f-09cf-4a59-9b1b-3d8cc6f05e31,333.48,27,79.67,5,10,8ba05fb0-095e-466e-a2ad-fa3580682d0f
MAE,cf59859f-bedc-4fa4-887e-9c9647fdc68e,239.03,11,31.0,3,4,8ba05fb0-095e-466e-a2ad-fa3580682d0f
ShopeePay,8267894e-182c-4049-ac57-70dc18bfc93e,141.73,12,20.79,1,4,b14c4db0-698b-42a7-8cba-b9f07f05a7f0
GrabPay,49b18b6c-ead3-4558-a318-740cd8e7e30d,186.29,7,44.63,4,5,b14c4db0-698b-42a7-8cba-b9f07f05a7f0
Boost,1707fb39-8a2d-458a-86b7-8b1f1df5cfc3,382.78,12,33.03,1,4,b14c4db0-698b-42a7-8cba-b9f07f05a7f0
MAE,8301ff65-f4a5-45da-8ddb-2f31e20c8215,47.47,12,20.1,8,5,b14c4db0-698b-42a7-8cba-b9f07f05a7f0
GoPayz,e00af275-803f-443c-9699-06879f6c6a8a,21.01,13,85.17,4,7,8667d6f1-b5d5-4493-805a-b21e4fe8029d
MAE,9e9fa7e8-507e-461f-858f-535f03e5e698,257.11,27,51.66,6,6,8667d6f1-b5d5-4493-805a-b21e4fe8029d
Boost,5d268101-1e5d-4a10-982b-cd388105a2d9,148.71,27,32.63,4,10,8667d6f1-b5d5-4493-805a-b21e4fe8029d
ShopeePay,61e8c3e0-5763-4ca7-9e3b-2ba7a49c73cf,405.34,30,70.82,8,5,8667d6f1-b5d5-4493-805a-b21e4fe8029d
GoPayz,e9f50cae-b77f-4dc3-b74c-f1105189c4aa,15.01,6,54.49,6,8,601fe48d-3572-4167-b71a-9fac053ff014
Boost,0f9816e9-e57e-49df-aa87-f2a237342a12,466.19,30,17.17,1,12,601fe48d-3572-4167-b71a-9fac053ff014
Boost,1abfdf38-23aa-4f75-a4cd-393b7fb14c4c,210.5,12,49.11,3,6,194762e4-c7ae-4fe1-b519-2f7d88b653f7
MAE,90fa165e-5295-4183-908e-50a3def172c9,265.25,7,10.63,2,4,194762e4-c7ae-4fe1-b519-2f7d88b653f7
ShopeePay,11079c46-d419-42d6-9240-de02945b9b44,295.74,25,25.09,7,11,194762e4-c7ae-4fe1-b519-2f7d88b653f7
Touch n Go eWallet,2921a874-f49a-4bfb-9bcc-6e798dc1fdd4,26.98,10,14.06,8,14,cd90a847-cb4f-4e46-b98b-1cb40deeaa21
GoPayz,0de1bec7-b71d-4bae-8c25-07d048dd279e,298.01,11,33.51,4,9,cd90a847-cb4f-4e46-b98b-1cb40deeaa21
MAE,c53e59b1-5bfb-48f1-a010-d24be7366e41,205.16,7,18.31,3,8,cd90a847-cb4f-4e46-b98b-1cb40deeaa21
GoPayz,1a5e8657-cc98-4735-8b9c-994a3a5fc1ae,186.76,6,90.98,6,5,cfbaf8a2-6b2a-4e68-a331-74e785082b1f
GrabPay,7a4c0e8e-97a9-4969-b7ce-6a6cef03fe9b,249.87,21,58.74,1,4,cfbaf8a2-6b2a-4e68-a331-74e785082b1f
GrabPay,cde8fc7b-35f6-4f47-9e97-c9b5ff1cb00c,124.86,25,28.49,7,10,a0c987a6-3c14-43c8-a202-856fef6a6e82
ShopeePay,afd62d3e-c99b-4a94-8d82-16891011ab4a,461.73,7,94.58,7,3,a0c987a6-3c14-43c8-a202-856fef6a6e82
GoPayz,794c524c-09a3-4260-ae43-d155aeb8ac9c,190.56,30,99.23,4,5,a0c987a6-3c14-43c8-a202-856fef6a6e82
MAE,847dd5d6-bde1-4f1a-a794-a6f545574454,334.35,30,63.82,2,9,a0c987a6-3c14-43c8-a202-856fef6a6e82
ShopeePay,c1d6d52f-f0c8-49e0-8ad1-b2ade7bbac16,280.33,17,91.31,3,5,9842405f-34d4-4b49-bcfd-33277e3205ee
GoPayz,babacc82-d88e-418f-a043-077557c0bd71,93.81,26,26.99,1,15,9842405f-34d4-4b49-bcfd-33277e3205ee
GoPayz,62ab2591-325a-49ea-ad0e-fb81c52a4124,203.76,28,38.51,1,4,be725f11-2588-4da0-b5b4-77f8e966fe74
GrabPay,f5cdbb10-a1c4-477a-adbb-c206700da87c,94.34,17,96.0,3,12,be725f11-2588-4da0-b5b4-77f8e966fe74
MAE,16ac5615-ed52-4f7c-beda-11d9cb10bcb2,194.07,8,80.24,1,7,be725f11-2588-4da0-b5b4-77f8e966fe74
ShopeePay,2043fee9-888a-4124-97ef-53833b6ffd2f,257.93,19,96.95,4,5,587f9faf-f176-41df-98dc-f5198d77556e
GrabPay,949c7e44-3c04-42e6-b37a-8b5f155503e3,398.17,30,49.43,3,9,587f9faf-f176-41df-98dc-f5198d77556e
Touch n Go eWallet,3e0cf88c-89c8-4918-bb1c-cfd11388e854,202.13,17,27.95,7,3,587f9faf-f176-41df-98dc-f5198d77556e
MAE,237e836c-7ce8-4ff0-93d7-6bb75013e40d,424.81,19,36.82,6,3,587f9faf-f176-41df-98dc-f5198d77556e
GrabPay,fa024aa0-92ad-49b3-aa86-87859d1fd141,391.67,27,29.78,2,13,1ebe15ac-69c6-479f-a01e-ec2ad671dc42
ShopeePay,f4186fe7-6a00-4aed-9262-715b74fd523e,294.35,29,25.14,5,12,1ebe15ac-69c6-479f-a01e-ec2ad671dc42
Boost,b325128a-fda6-4d77-b509-53f99a334e7a,438.62,24,15.28,1,13,1ebe15ac-69c6-479f-a01e-ec2ad671dc42
Touch n Go eWallet,185c9e37-fc04-4519-966d-6229404b4255,490.87,18,95.4,7,6,1ebe15ac-69c6-479f-a01e-ec2ad671dc42
Boost,11b7ba20-3ee8-48ff-8013-e332a4db4934,307.86,27,70.69,6,9,ee18aab2-7e60-425b-bf71-73218992b5d4
GoPayz,5368d817-a3d1-4173-9805-67f265aabf22,450.99,23,88.23,8,8,ee18aab2-7e60-425b-bf71-73218992b5d4
GrabPay,0dbb9fe0-be2c-4b3a-9cad-d2f1d3f0e1a5,88.55,14,14.81,5,5,ee18aab2-7e60-425b-bf71-73218992b5d4
MAE,e984d29a-af54-49fc-85b6-f3533cb565a9,214.8,20,80.64,7,4,2bcf7175-8e48-4776-810a-982b71b1d66e
GrabPay,97cf70bd-92a1-4ffc-9e90-f96a7acb9b38,174.58,24,20.09,7,7,2bcf7175-8e48-4776-810a-982b71b1d66e
ShopeePay,9d2228e7-002d-415b-938f-c9b699114f9b,406.23,16,70.53,3,11,2bcf7175-8e48-4776-810a-982b71b1d66e
ShopeePay,2db79cf4-338b-4ea0-8a60-1b238673dc2f,480.11,20,22.18,8,11,08b98c81-8338-4377-84fe-e15fe63531a3
GoPayz,a64147cf-f425-48f2-b595-7118071d3cd6,111.59,7,60.95,7,8,08b98c81-8338-4377-84fe-e15fe63531a3
MAE,f7cfb2c0-8b54-4bb2-8c09-8c01d0a3e3cc,98.47,29,81.35,7,10,08b98c81-8338-4377-84fe-e15fe63531a3
ShopeePay,0bffd28f-d9b8-41a8-90f1-347ad5aff3c1,187.56,24,32.92,6,5,30009472-68f6-4fee-9a4c-fe37be7521a5
MAE,5a066cb2-7831-4507-8db9-b4f740ed39ff,137.72,14,22.57,3,10,30009472-68f6-4fee-9a4c-fe37be7521a5
Touch n Go eWallet,8d557a61-63b4-4dab-9b16-5ea9639cebda,326.77,7,69.93,2,6,30009472-68f6-4fee-9a4c-fe37be7521a5
GrabPay,ff0dd4f1-24e7-4870-8cee-5aec4f105d3c,122.33,16,67.26,3,10,30009472-68f6-4fee-9a4c-fe37be7521a5
MAE,021ba25e-52e4-473f-a619-4e563b292922,423.82,7,11.4,7,5,399ef84f-7854-4e0b-88b2-d9d2f735b8a8
ShopeePay,ff50da48-96f7-4da1-93b5-5c386fee72c3,205.85,12,48.04,8,15,399ef84f-7854-4e0b-88b2-d9d2f735b8a8
GoPayz,be946761-6568-4e34-8aae-b51af9ab43de,424.42,25,45.94,2,7,399ef84f-7854-4e0b-88b2-d9d2f735b8a8
Boost,f291b461-e30c-4d95-aeb5-617f00ef9e9d,45.11,27,49.65,2,6,44a8651c-4122-4775-9fb6-8e5566235b7e
Touch n Go eWallet,e7c5da57-7bb4-4d26-b2d1-566c3f5dee7c,316.04,10,40.28,3,14,44a8651c-4122-4775-9fb6-8e5566235b7e
ShopeePay,5fb4f782-2a10-4cb1-8394-c0a8158e6b38,414.2,10,69.98,4,11,44a8651c-4122-4775-9fb6-8e5566235b7e
GoPayz,44fcec3b-865a-48f6-b231-b3bfa53afcbf,31.13,11,49.97,6,12,754e6216-0daa-46c9-b83d-b27cef986479
GrabPay,63bc17a4-7d6d-44c4-a2a9-522b56e08498,49.16,11,21.49,2,8,754e6216-0daa-46c9-b83d-b27cef986479
Touch n Go eWallet,9d4b024f-8b92-4857-b165-42538adcbee9,301.04,26,27.6,2,14,754e6216-0daa-46c9-b83d-b27cef986479
MAE,af9cb6ba-dc71-4841-b6f2-ccd4e941ad63,302.23,24,99.85,3,13,754e6216-0daa-46c9-b83d-b27cef986479
Touch n Go eWallet,3f90de2f-dc6d-49db-b00b-f4c62ee9100b,156.31,29,22.89,1,3,18a18746-0cf9-4e56-88b1-4c22f6783798
MAE,5dccbd27-d2a2-4005-85f1-d7bfdd32dfbb,311.45,20,52.43,2,6,18a18746-0cf9-4e56-88b1-4c22f6783798
Touch n Go eWallet,299ee021-36df-4bff-861d-fd4950b4e4b6,378.72,10,73.2,5,3,646d423f-7448-48d3-986b-a8dc90906020
GrabPay,b14baf22-3604-4717-8f9f-abc8bd532db4,343.39,21,46.92,5,9,646d423f-7448-48d3-986b-a8dc90906020
GoPayz,cbe7bb11-f6a1-43af-8af5-7fb88e0f489a,397.09,26,98.7,2,11,646d423f-7448-48d3-986b-a8dc90906020
Boost,15ab7f0d-6942-497b-944a-cc06610e039d,410.49,8,60.81,1,4,56fb3ace-d9cd-4b82-8b94-a1a8a9e63705
Touch n Go eWallet,9cd00cc7-f8f4-4f56-bf5f-a154f32ddf2a,125.88,28,97.0,2,6,56fb3ace-d9cd-4b82-8b94-a1a8a9e63705
GrabPay,f3318211-8984-4636-8512-3875c66b6eea,20.7,26,25.21,8,4,56fb3ace-d9cd-4b82-8b94-a1a8a9e63705
Touch n Go eWallet,b5d7656c-1553-4618-aa2a-91f70c641a5e,128.95,11,51.75,3,8,9cb13f54-164a-463f-9d5d-07cde1ea6893
Boost,7c3be7b5-0f37-493e-ab91-dfc24c13f669,329.1,11,54.14,8,15,9cb13f54-164a-463f-9d5d-07cde1ea6893
ShopeePay,8a0c8f47-24fd-40d4-aff7-28750e293060,114.42,14,30.01,5,5,9cb13f54-164a-463f-9d5d-07cde1ea6893
MAE,863f397f-6e15-4d85-bf9c-6a302950137e,177.51,13,82.28,8,15,c86e76cb-dd98-4eb6-9bdd-7b63b1d90592
Touch n Go eWallet,14c83a8b-78c1-4a4e-ab35-0943f655df29,301.58,19,10.64,1,3,c86e76cb-dd98-4eb6-9bdd-7b63b1d90592
GoPayz,e9cd7057-379a-4ec6-81d3-22ae0924dd14,45.21,7,80.77,2,9,c86e76cb-dd98-4eb6-9bdd-7b63b1d90592
Touch n Go eWallet,f5873763-e1cd-4d1e-a86e-170cbb9cb106,157.06,28,97.37,2,4,62c2ba98-1f74-44a4-b0f9-10e25b63b069
MAE,a83b2268-be07-420d-ad34-5a63443aa5cd,270.35,12,15.71,3,10,62c2ba98-1f74-44a4-b0f9-10e25b63b069
GoPayz,e95d3344-1074-4e2c-bcac-a4262d2b4b7c,494.24,16,35.18,3,9,62c2ba98-1f74-44a4-b0f9-10e25b63b069
Boost,d89ddd39-63c8-4c24-ae4e-6a5ac10104f8,488.5,26,50.55,5,4,62c2ba98-1f74-44a4-b0f9-10e25b63b069
GoPayz,e6fc7f6f-78fc-447e-b820-adf492a7dc42,456.43,27,56.0,2,4,c56ff95f-aaa5-4f5f-a390-1b50f085088c
ShopeePay,5fcb2693-a5f4-4956-9f42-e1219f605465,187.96,19,80.64,5,14,c56ff95f-aaa5-4f5f-a390-1b50f085088c
MAE,3e13b989-b751-41d0-80d2-c242372d8ee5,475.49,14,78.02,1,12,c56ff95f-aaa5-4f5f-a390-1b50f085088c
